UserID,HDS,HBE,HFE,NUMCOURSESBEGINNERDATASCIENCE ,NUMCOURSESBEGINNERBACKEND,NUMCOURSESBEGINNERFRONTEND,NUMCOURSESADVANCEDDATASCIENCE,NUMCOURSESADVANCEDBACKEND ,NUMCOURSESADVANCEDFRONTEND,AVGSCOREDATASCIENCE,AVGSCOREBACKEND,AVGSCOREFRONTEND,StudentProfile
79909940,44,82,0,3,0,4,3,1,7,56,88,74,beginner_backend
96257474,73,58,31,2,1,6,2,4,7,68,87,54,advanced_backend
87676286,48,80,29,5,5,3,0,9,4,81,35,35,beginner_front_end
85502620,4,26,17,9,7,5,3,3,3,69,72,86,advanced_backend
21610989,33,69,5,5,1,4,0,5,2,64,50,55,beginner_backend
3776377,39,35,25,6,4,6,1,6,2,56,81,72,advanced_data_science
2010402,0,80,58,3,1,5,8,0,4,74,63,78,advanced_backend
71656034,44,57,44,3,3,3,4,6,1,67,57,76,beginner_backend
45001689,63,20,0,5,3,4,7,5,7,67,70,49,advanced_backend
21425001,53,19,45,3,4,2,2,6,3,58,79,67,advanced_front_end
15873451,41,65,48,4,6,3,5,6,3,55,82,61,advanced_front_end
76411012,46,52,31,0,0,3,6,5,5,56,80,72,advanced_backend
54534858,40,34,11,3,4,3,3,7,7,84,46,50,beginner_front_end
79155215,54,70,28,5,2,7,1,8,4,64,66,74,advanced_data_science
26868394,37,26,26,0,4,2,5,7,2,63,64,69,beginner_data_science
46052685,6,4,35,2,3,5,1,2,4,69,60,75,beginner_data_science
58417714,45,28,22,3,6,4,3,5,2,48,70,54,advanced_front_end
46266248,32,19,52,3,4,0,5,4,4,69,62,56,beginner_front_end
66329441,36,56,33,5,4,4,4,4,3,58,48,56,beginner_data_science
20411432,39,67,41,3,0,3,3,5,2,57,90,78,beginner_backend
25206001,39,53,38,5,2,6,2,0,2,60,28,69,advanced_data_science
88275225,15,38,13,2,7,4,3,5,3,55,80,56,advanced_front_end
89405689,52,42,4,6,5,4,3,4,5,75,72,57,beginner_front_end
2309384,3,50,22,1,9,3,4,4,3,51,80,51,advanced_front_end
62821707,11,30,54,4,0,4,1,0,5,54,,68,beginner_data_science
15649184,21,38,38,2,5,5,5,4,2,91,88,67,beginner_backend
86317357,21,,32,0,2,3,0,8,0,,64,69,beginner_backend
11266040,36,0,42,4,1,2,6,5,3,72,64,71,beginner_front_end
88729016,41,44,24,4,3,4,1,7,4,83,41,53,beginner_front_end
48562098,34,33,61,6,4,4,2,1,5,73,84,76,beginner_data_science
87168885,51,83,11,3,2,5,7,0,5,81,88,57,beginner_backend
15756896,57,15,4,1,5,3,6,7,2,88,89,91,beginner_data_science
80512227,25,33,79,4,1,3,3,2,4,44,50,54,beginner_data_science
51794738,36,51,23,5,2,4,11,2,5,66,52,64,advanced_backend
10974300,61,52,39,2,1,3,4,6,4,59,76,79,advanced_backend
8544566,0,18,52,4,3,7,0,0,4,41,75,79,beginner_data_science
17255781,11,40,41,3,6,5,2,7,2,66,63,66,beginner_backend
86725848,0,22,55,0,6,4,0,5,4,,77,71,beginner_backend
49984108,0,15,30,0,8,7,1,7,0,100,65,57,beginner_backend
78851244,52,0,49,3,4,5,1,5,3,62,61,51,advanced_front_end
36287154,30,54,55,3,4,0,3,6,4,56,73,87,advanced_front_end
36842534,45,13,9,4,1,4,0,7,1,77,51,63,beginner_front_end
74341221,65,74,0,8,3,5,9,7,3,48,68,77,advanced_data_science
90527486,50,8,19,0,5,5,2,3,3,43,72,48,advanced_front_end
48309070,19,78,50,4,2,4,4,2,0,61,67,88,advanced_backend
39996940,5,54,68,3,5,0,2,6,3,55,76,84,advanced_front_end
81472792,29,76,46,4,6,3,6,5,3,75,70,71,advanced_front_end
45317603,22,21,34,0,0,4,7,4,3,87,85,74,beginner_backend
35324341,0,12,48,4,7,3,4,8,0,91,54,66,beginner_backend
14472354,32,57,68,3,6,2,4,5,2,65,70,59,advanced_front_end
16564052,0,1,31,0,7,8,3,4,4,97,87,70,beginner_backend
34804549,34,20,29,3,2,2,4,3,5,83,85,79,beginner_data_science
86985969,63,53,17,7,3,4,3,6,1,65,34,59,advanced_data_science
33257209,49,65,20,4,6,4,2,7,5,88,52,46,beginner_front_end
41730867,23,0,30,0,4,2,4,6,5,61,79,90,advanced_front_end
79522169,70,35,20,10,2,6,4,3,0,55,58,72,advanced_data_science
60517210,56,40,50,4,5,5,3,5,3,61,81,45,advanced_front_end
22302595,76,14,45,2,6,5,5,4,2,50,55,72,beginner_front_end
29811948,40,3,52,4,4,5,5,7,2,72,80,83,beginner_front_end
52710878,0,92,57,5,3,4,4,5,5,74,74,67,advanced_front_end
1539545,32,69,47,2,5,4,6,5,2,80,58,79,advanced_front_end
63214368,30,74,40,5,5,7,2,5,2,54,81,63,advanced_data_science
63875515,0,91,77,4,1,5,5,8,7,63,55,66,advanced_front_end
51438625,2,58,21,5,6,8,6,1,10,68,78,54,advanced_backend
60371163,20,14,41,1,4,9,4,5,2,75,89,74,beginner_data_science
6467007,68,58,16,5,4,6,6,4,6,61,60,47,advanced_backend
52060012,12,101,62,5,5,2,6,7,4,72,84,74,advanced_front_end
58240070,15,51,17,2,3,4,2,5,3,78,76,69,beginner_backend
58343900,21,42,7,7,4,9,0,0,5,89,78,75,advanced_backend
75561285,29,104,53,4,5,8,1,2,4,51,70,51,advanced_backend
11584014,68,57,53,4,7,1,3,4,0,68,66,64,advanced_front_end
58472295,43,14,18,6,2,7,2,4,4,48,82,77,advanced_data_science
53428740,44,56,49,4,1,3,5,3,3,73,65,89,advanced_backend
77820233,70,47,51,2,6,5,1,5,0,61,46,55,beginner_front_end
22049419,49,52,5,7,2,7,1,5,1,70,74,73,advanced_data_science
78334652,55,56,18,7,7,5,4,2,4,71,73,54,beginner_front_end
30405338,8,39,71,4,1,2,5,4,7,88,91,100,advanced_backend
65636397,86,80,40,5,0,0,4,6,5,45,62,80,beginner_backend
71120129,59,43,52,5,5,7,1,3,1,52,67,58,advanced_data_science
33088749,17,65,24,5,4,5,5,0,1,62,70,71,advanced_backend
41410694,9,42,14,4,4,1,8,3,1,57,67,88,advanced_backend
13773307,41,60,77,4,3,5,2,5,2,47,46,28,advanced_front_end
14305911,0,38,68,5,2,7,0,0,5,58,70,70,beginner_data_science
80065430,0,77,52,3,5,2,6,5,5,83,82,95,advanced_front_end
41187439,0,56,58,3,3,3,2,6,4,73,77,71,advanced_front_end
34977427,31,39,40,0,7,1,5,7,1,51,68,70,advanced_front_end
13175326,30,7,79,3,2,2,10,5,0,70,85,45,beginner_data_science
21946690,17,6,36,3,2,10,4,3,1,80,100,81,beginner_data_science
82605229,17,77,31,3,4,3,5,8,2,72,66,64,advanced_data_science
84020110,24,15,46,4,1,8,3,2,3,69,75,74,beginner_data_science
20782587,22,29,27,2,8,5,4,4,3,69,83,49,advanced_front_end
45669493,30,57,24,2,5,1,3,5,5,40,87,77,advanced_front_end
35315429,22,40,0,1,1,1,0,5,3,86,62,46,beginner_front_end
82502365,18,14,15,0,3,7,2,4,2,66,67,80,beginner_data_science
25681920,32,46,0,7,3,4,0,4,0,87,71,76,advanced_data_science
50572563,29,26,36,2,7,3,2,4,2,58,74,59,advanced_front_end
63518746,52,55,18,5,4,5,4,3,5,68,64,67,advanced_backend
22108921,6,41,58,4,5,3,1,5,4,51,78,44,advanced_front_end
34986386,26,11,50,0,5,4,2,5,3,62,75,56,advanced_front_end
2313388,74,43,33,4,8,0,2,2,0,70,93,,advanced_front_end
39586835,9,27,42,3,7,4,3,5,6,67,71,79,beginner_backend
51825736,65,86,61,4,2,5,3,6,6,47,63,76,advanced_backend
66846382,59,34,53,6,2,8,2,0,6,41,65,97,advanced_data_science
8105364,15,21,3,1,4,1,6,0,2,78,100,73,advanced_backend
77832589,14,11,42,4,2,6,0,3,1,63,62,54,advanced_data_science
84038879,23,62,20,4,6,1,2,7,0,76,54,70,advanced_data_science
58019498,42,38,40,5,1,7,4,5,10,85,73,77,advanced_backend
36996255,9,14,45,4,2,7,0,3,3,34,78,86,beginner_data_science
5629201,10,64,44,7,0,10,4,3,7,84,57,73,advanced_backend
36012241,40,14,26,4,5,4,4,9,3,83,54,69,beginner_front_end
56027469,40,91,23,5,1,6,7,10,6,45,42,55,advanced_data_science
17152526,39,41,33,2,7,3,3,7,4,76,75,61,beginner_front_end
66395772,57,27,8,0,6,5,3,10,4,79,43,70,beginner_front_end
80037848,63,22,16,4,2,1,5,3,2,74,78,89,advanced_backend
23200815,30,25,77,4,1,5,0,1,4,31,69,82,beginner_data_science
15752255,28,22,48,2,4,6,1,3,3,65,81,87,beginner_data_science
41482862,24,57,45,3,5,4,4,4,5,65,74,68,advanced_front_end
44994062,27,113,65,6,7,4,5,3,1,88,44,44,advanced_front_end
23809101,45,63,45,5,1,0,5,6,2,67,84,100,beginner_backend
58885055,8,1,41,4,2,1,4,4,4,63,75,81,beginner_data_science
3895324,36,25,56,4,3,3,3,3,3,65,70,73,beginner_data_science
60102442,34,29,80,1,3,6,5,2,2,50,70,53,beginner_data_science
9735234,45,41,70,5,3,6,2,0,4,50,79,72,beginner_data_science
66016623,74,50,40,6,0,3,5,4,3,77,52,83,advanced_backend
20050902,62,39,38,0,6,5,1,4,0,51,52,53,beginner_front_end
48430518,61,61,41,4,1,7,3,6,4,61,40,62,advanced_data_science
96266523,4,83,49,6,5,3,1,4,4,52,84,42,advanced_front_end
45940137,17,20,41,5,5,1,0,2,5,65,58,86,beginner_data_science
55409518,41,55,41,6,1,3,7,3,3,46,76,65,beginner_data_science
87890947,5,74,41,5,4,7,6,0,3,67,71,60,advanced_backend
79855320,16,52,25,3,3,2,1,3,7,63,71,75,beginner_backend
62528139,31,58,14,4,5,4,4,6,4,66,91,91,beginner_backend
86653207,66,46,0,7,8,5,2,5,5,53,63,46,advanced_backend
47758143,0,78,60,4,4,7,4,6,5,66,77,42,advanced_front_end
5307264,0,69,30,9,6,9,1,3,3,57,64,65,advanced_backend
79240197,15,17,16,4,3,3,7,4,5,66,100,53,advanced_backend
38805351,15,35,15,8,4,8,3,2,7,82,77,74,advanced_backend
85398426,35,47,28,2,5,7,5,2,1,100,75,46,beginner_backend
7281761,24,61,36,4,4,2,2,3,6,60,70,85,beginner_backend
20832483,54,30,59,3,3,2,4,8,2,57,61,73,beginner_backend
88107332,16,29,18,4,2,1,4,4,4,93,60,57,beginner_front_end
38595066,56,22,35,5,2,6,3,4,3,46,57,62,advanced_data_science
81308731,39,29,28,5,0,7,6,4,9,88,74,82,advanced_backend
55269356,39,54,54,0,4,5,0,4,4,,55,67,beginner_data_science
74476414,12,55,60,7,2,5,1,6,2,67,64,100,advanced_backend
45006941,22,18,39,1,5,5,1,5,3,77,75,89,beginner_data_science
26265532,49,26,54,3,8,3,5,4,5,63,74,69,beginner_front_end
40530122,28,39,12,3,4,4,8,0,8,80,84,62,advanced_backend
87008338,78,65,42,5,3,5,8,6,5,34,50,67,advanced_data_science
21080483,70,1,7,2,4,7,4,7,2,77,66,82,beginner_front_end
44791130,37,62,12,7,5,5,2,1,0,62,57,77,advanced_backend
54884131,0,58,29,7,4,8,7,0,6,78,64,74,advanced_backend
64533328,41,57,3,7,2,7,0,3,0,74,62,76,advanced_data_science
50654621,46,21,52,3,6,4,3,4,4,83,89,86,beginner_data_science
86825063,87,10,60,4,8,,4,5,0,50,62,79,beginner_front_end
75943262,38,51,30,2,4,3,4,5,3,77,71,67,beginner_backend
68125404,0,63,49,6,1,8,6,1,8,100,72,70,advanced_backend
40542396,47,45,42,2,0,2,6,6,3,64,72,85,beginner_backend
10270,26,32,64,4,4,3,7,2,4,83,76,49,beginner_data_science
14778152,0,56,42,4,5,4,2,6,4,44,68,44,advanced_front_end
27087451,21,60,53,2,4,4,2,5,3,72,55,78,advanced_data_science
67349743,17,57,42,6,6,1,6,2,4,,78,54,beginner_front_end
5068000,36,46,0,1,2,0,1,3,5,79,55,38,beginner_front_end
49479639,45,18,8,0,5,4,5,6,3,71,66,75,beginner_data_science
99528812,3,14,85,4,1,9,1,1,2,35,71,60,beginner_data_science
83409223,52,67,16,2,4,6,3,3,5,53,75,46,advanced_backend
47685630,43,54,46,4,6,3,3,2,2,62,66,55,advanced_front_end
50553487,12,24,40,3,6,4,5,4,5,72,64,64,beginner_backend
15819313,9,80,39,2,6,2,5,6,3,54,70,65,advanced_front_end
44760382,73,42,0,9,2,7,3,5,2,52,67,70,advanced_data_science
19633769,8,60,1,1,1,4,0,4,3,76,69,57,beginner_backend
40861964,45,41,22,5,3,7,2,4,5,42,80,74,advanced_data_science
39499156,56,45,50,4,4,5,0,2,1,74,40,69,advanced_data_science
23102212,31,28,66,3,4,1,5,5,1,72,54,57,beginner_front_end
45923818,23,40,25,5,5,3,4,6,2,83,76,71,beginner_backend
85472340,29,47,43,3,4,5,3,4,4,76,90,80,beginner_backend
22790912,25,17,34,1,3,9,3,5,2,86,79,63,beginner_data_science
80368418,36,10,79,1,1,0,7,3,2,55,73,58,beginner_data_science
92723117,33,41,19,2,6,2,1,8,1,95,57,64,beginner_backend
69306145,18,49,15,4,3,4,5,3,4,65,84,60,advanced_backend
47816650,56,24,41,2,4,5,0,5,3,52,54,44,advanced_data_science
97750451,80,69,12,6,2,6,4,10,5,52,59,62,advanced_data_science
12350917,82,71,65,4,7,1,4,4,0,73,62,56,advanced_front_end
22131418,49,7,24,2,4,4,4,7,4,73,49,67,beginner_front_end
43678215,55,58,85,2,1,5,5,4,7,54,67,94,advanced_data_science
1602313,21,38,41,5,4,1,5,5,2,84,71,85,beginner_backend
24723224,26,30,29,3,2,8,0,4,3,65,78,88,beginner_data_science
56351000,29,60,10,6,4,4,4,5,2,53,68,73,advanced_data_science
39571214,43,50,63,3,7,1,3,6,1,64,58,49,beginner_front_end
30304238,51,48,26,5,2,3,3,8,1,70,44,49,advanced_data_science
82580482,29,7,15,6,4,6,3,6,10,82,99,59,advanced_backend
9178442,12,20,55,4,5,0,5,9,1,78,62,89,beginner_backend
48678721,17,28,2,6,4,6,8,2,9,89,76,50,advanced_backend
63267262,78,58,63,1,3,0,7,6,3,68,99,77,beginner_data_science
96685412,57,30,24,2,6,3,1,6,3,77,58,58,beginner_front_end
82440503,1,25,38,4,4,10,0,1,4,63,87,88,beginner_data_science
1412274,96,43,44,5,7,1,5,4,1,71,68,83,advanced_front_end
60510259,39,57,58,3,4,5,5,5,3,75,53,68,advanced_front_end
92382314,40,67,42,6,6,1,2,5,6,82,50,35,beginner_front_end
76731750,20,52,39,7,3,8,4,4,8,79,62,81,advanced_backend
54915829,45,47,36,5,3,6,3,5,5,68,73,71,advanced_backend
86815804,12,2,55,1,0,3,5,4,1,35,22,42,beginner_data_science
90917988,86,30,29,8,1,9,2,4,3,45,61,63,advanced_data_science
52924276,39,47,41,2,1,2,4,6,4,63,82,77,beginner_backend
62711848,49,55,38,4,3,2,2,10,0,54,56,74,beginner_backend
8360657,30,62,5,7,1,6,3,3,3,63,49,80,advanced_data_science
2949944,29,68,61,6,0,5,5,6,0,58,57,80,advanced_backend
32516541,47,64,26,4,2,2,2,8,1,58,59,77,beginner_backend
77477366,47,9,39,4,3,4,3,3,4,48,69,71,advanced_data_science
75138678,69,71,84,3,6,4,2,4,2,57,58,62,beginner_data_science
75062035,42,43,47,2,6,1,5,6,2,71,58,55,beginner_front_end
69659016,45,72,60,7,0,7,4,3,4,86,51,80,advanced_backend
76578422,64,74,13,4,5,4,4,3,2,44,50,58,advanced_backend
9913644,14,34,44,1,6,3,0,7,3,80,67,74,beginner_backend
17246373,74,14,13,3,3,4,1,5,3,69,45,54,beginner_front_end
16614639,47,63,25,2,4,0,4,5,4,37,72,94,advanced_front_end
4208627,6,27,7,6,3,5,5,1,2,86,83,75,advanced_backend
46381544,20,46,63,3,6,8,2,4,1,65,74,74,beginner_data_science
60246300,52,56,78,6,4,4,2,4,4,55,85,75,beginner_data_science
60474099,31,22,61,6,1,3,4,1,4,50,64,60,beginner_data_science
59888879,36,37,28,3,6,0,5,7,2,60,56,60,advanced_data_science
86816136,55,68,63,6,5,5,4,1,3,64,66,67,beginner_data_science
12867828,21,74,0,6,5,1,2,6,4,75,80,89,beginner_backend
32935245,48,19,32,3,5,3,5,4,3,67,67,64,beginner_front_end
88990937,66,45,32,5,7,3,3,5,4,67,52,51,beginner_front_end
44868543,59,43,41,1,5,2,3,5,2,56,58,67,advanced_front_end
28984844,54,18,50,2,2,1,1,6,4,41,80,72,advanced_front_end
32230255,32,49,40,3,4,1,2,6,5,33,91,69,advanced_front_end
6550576,80,61,10,4,6,2,7,1,3,51,55,58,advanced_backend
52177723,42,34,28,5,3,2,3,6,4,77,55,57,beginner_front_end
74132634,63,68,50,3,4,1,2,3,2,47,69,56,advanced_front_end
65572462,25,50,13,9,2,10,0,1,3,55,100,100,advanced_data_science
7790411,81,73,57,5,2,6,4,8,10,53,52,67,advanced_backend
7275606,25,43,58,5,8,3,2,11,0,72,68,79,beginner_backend
94985571,9,24,21,2,4,8,0,3,3,59,60,78,beginner_data_science
98688624,0,50,71,2,5,3,4,5,4,81,65,76,advanced_front_end
78056706,73,81,5,4,0,1,3,6,4,55,59,68,beginner_backend
23938570,11,32,24,1,1,3,4,5,5,74,82,74,beginner_backend
44682928,74,18,33,4,5,5,2,5,2,53,48,61,beginner_front_end
44560364,69,35,38,3,7,6,4,6,5,62,42,57,beginner_front_end
81354164,22,47,38,5,2,0,3,4,4,72,71,74,beginner_backend
40662075,44,64,41,5,3,3,4,4,2,70,73,76,beginner_backend
74740977,21,37,15,6,5,3,7,0,3,89,79,60,advanced_backend
30879376,16,52,58,6,1,3,6,5,4,73,71,93,advanced_backend
75030979,49,69,22,7,6,2,4,5,4,75,73,74,beginner_backend
4037315,22,52,29,6,3,4,5,2,3,76,69,71,advanced_backend
69131015,44,25,8,1,7,3,3,4,3,78,83,68,beginner_front_end
29200038,33,16,12,3,3,2,10,3,8,78,89,65,advanced_backend
33266654,53,46,0,8,4,3,5,6,0,58,78,63,advanced_data_science
64641960,6,27,47,3,3,9,5,1,1,64,96,67,beginner_data_science
56567161,77,12,23,3,7,6,5,4,4,56,65,75,beginner_front_end
5659088,36,66,59,5,4,4,0,2,5,39,55,77,beginner_data_science
98525100,22,20,96,5,2,3,2,2,3,25,62,69,beginner_data_science
65373484,59,16,25,3,4,9,3,6,3,60,71,30,advanced_front_end
89741832,33,42,54,6,5,3,2,8,5,75,56,57,beginner_front_end
25337159,105,0,28,5,8,11,7,7,3,56,62,96,beginner_front_end
10878491,86,43,43,5,4,2,3,4,3,60,75,70,advanced_front_end
42851706,50,34,40,4,2,5,5,6,9,72,81,66,advanced_backend
70070656,26,80,,3,6,0,3,5,3,75,74,42,beginner_front_end
16068669,45,18,46,5,3,4,5,5,4,76,53,63,beginner_front_end
90067012,22,10,1,3,0,0,1,5,2,87,63,54,beginner_front_end
56800499,69,64,6,9,2,9,2,6,3,52,62,69,advanced_data_science
99942404,22,46,47,3,6,3,2,6,2,79,78,77,beginner_backend
16056837,47,57,43,2,5,0,3,4,2,55,80,75,advanced_front_end
54112582,43,81,0,7,4,7,5,7,2,50,83,78,advanced_data_science
90037194,18,89,19,6,3,5,5,6,3,65,65,88,advanced_data_science
44428737,34,27,21,0,6,3,4,6,5,38,83,67,advanced_front_end
34052813,10,10,31,0,3,5,6,4,3,85,81,68,beginner_backend
24489721,33,55,20,2,2,2,8,0,3,79,74,62,advanced_backend
42813278,53,32,22,5,4,6,3,5,6,63,77,60,advanced_backend
22126297,39,37,19,6,3,6,8,4,7,73,65,61,beginner_data_science
48274909,30,27,35,5,1,4,5,3,7,97,79,88,advanced_backend
10699643,26,43,46,3,1,4,6,3,5,56,87,78,beginner_backend
5450941,7,17,64,5,4,4,2,1,5,79,87,74,beginner_data_science
60253648,0,65,70,3,4,5,3,6,3,71,65,47,advanced_front_end
58081767,52,86,26,5,4,0,2,8,1,67,70,85,beginner_backend
80155609,41,83,20,7,3,4,7,5,2,61,37,65,advanced_data_science
46968772,23,34,56,0,4,7,0,3,3,,87,89,beginner_data_science
74989876,28,53,54,1,6,1,3,5,2,48,64,68,advanced_front_end
30697287,75,33,45,3,8,2,6,5,5,59,52,51,beginner_front_end
44663802,0,46,39,2,2,6,6,3,7,74,94,80,advanced_backend
64774053,48,45,37,4,5,4,2,4,2,58,68,42,advanced_front_end
20691090,45,25,9,4,5,3,2,3,3,73,62,60,beginner_front_end
7735354,43,36,77,2,4,2,5,2,3,54,48,79,advanced_data_science
45765502,37,25,18,1,3,2,2,6,3,52,61,89,beginner_data_science
72108840,29,56,60,5,4,2,3,3,3,74,80,70,beginner_backend
46628920,67,0,40,5,6,7,3,4,2,63,54,79,beginner_front_end
71609034,57,36,49,2,3,6,6,1,1,47,70,64,beginner_data_science
92617073,0,0,60,2,8,5,1,9,0,83,55,74,beginner_backend
87503665,50,28,22,6,4,5,2,5,5,77,72,77,advanced_backend
56262887,50,79,0,4,4,4,1,4,5,73,65,52,beginner_backend
18154167,21,16,53,0,3,6,6,5,1,59,76,61,beginner_data_science
70552047,22,34,34,1,4,4,4,6,4,87,98,81,beginner_backend
8245357,53,37,47,3,2,0,2,2,2,59,38,43,beginner_front_end
3025068,58,0,0,1,1,0,11,3,3,71,93,64,advanced_backend
26536557,37,48,60,3,5,1,5,3,2,69,61,52,beginner_front_end
17843701,53,63,36,5,1,0,4,5,4,71,92,90,beginner_backend
